"unitid","school_name","address","state","A01"
219240,"Kairos University","2100 S Summit Ave, Sioux Falls, South Dakota","South Dakota",1558165
219295,"Presentation College","1500 N Main, Aberdeen, South Dakota","South Dakota",12164746
219338,"Avera Sacred Heart Hospital","501 Summit, Yankton, South Dakota","South Dakota",NA
219374,"Sinte Gleska University","E. Highway 18,  101 Antelope Lake Circle, Mission, South Dakota","South Dakota",2854802
219383,"University of Sioux Falls","1101 W 22nd St, Sioux Falls, South Dakota","South Dakota",21727508
219392,"Sanford Medical Center","1305 W. 18th Street, Sioux Falls, South Dakota","South Dakota",NA
219505,"American Baptist College","1800 Baptist World Ctr Dr, Nashville, Tennessee","Tennessee",742386
219639,"Baptist Health Sciences University","1003 Monroe Ave, Memphis, Tennessee","Tennessee",0
219709,"Belmont University","1900 Belmont Blvd, Nashville, Tennessee","Tennessee",248581389
219718,"Bethel University","325 Cherry Ave, McKenzie, Tennessee","Tennessee",9203274
219790,"Bryan College-Dayton","721 Bryan Drive, Dayton, Tennessee","Tennessee",7575878
219806,"Carson-Newman University","1646 S Russell Ave, Jefferson City, Tennessee","Tennessee",56320064
219833,"Christian Brothers University","650 East Parkway South, Memphis, Tennessee","Tennessee",35207145
219842,"Pentecostal Theological Seminary","900 Walker St NE, Cleveland, Tennessee","Tennessee",18122796
219949,"Cumberland University","1 Cumberland Square, Lebanon, Tennessee","Tennessee",12366318
219976,"Lipscomb University","One University Park Drive, Nashville, Tennessee","Tennessee",102553604
220181,"Fisk University","1000 17th Ave North, Nashville, Tennessee","Tennessee",88905514
220206,"Welch College","1045 Bison Trail, Gallatin, Tennessee","Tennessee",3052961
220215,"Freed-Hardeman University","158 E Main St, Henderson, Tennessee","Tennessee",63446697
220464,"John A Gupton College","1616 Church St, Nashville, Tennessee","Tennessee",448871
